DEBUG 2025-03-04 12:27:59,307 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_config/config.py first seen with mtime 1740863749.4361897
DEBUG 2025-03-04 12:27:59,307 autoreload File /usr/local/lib/python3.10/site-packages/numpy/_core/_ufunc_config.py first seen with mtime 1740863738.8862276
DEBUG 2025-03-04 12:27:59,307 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/dtypes/missing.py first seen with mtime 1740863749.8261878
DEBUG 2025-03-04 12:27:59,308 autoreload File /usr/local/lib/python3.10/signal.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,308 autoreload File /usr/local/lib/python3.10/site-packages/django/core/handlers/__init__.py first seen with mtime 1740867318.187751
DEBUG 2025-03-04 12:27:59,308 autoreload File /usr/local/lib/python3.10/site-packages/numpy/_core/numeric.py first seen with mtime 1740863738.8862276
DEBUG 2025-03-04 12:27:59,308 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1740867316.5877588
DEBUG 2025-03-04 12:27:59,309 autoreload File /usr/local/lib/python3.10/site-packages/numpy/lib/stride_tricks.py first seen with mtime 1740863738.6162286
DEBUG 2025-03-04 12:27:59,309 autoreload File /usr/local/lib/python3.10/bisect.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,309 autoreload File /usr/local/lib/python3.10/site-packages/django/conf/locale/__init__.py first seen with mtime 1740867315.1277657
DEBUG 2025-03-04 12:27:59,309 autoreload File /usr/local/lib/python3.10/ssl.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,309 autoreload File /usr/local/lib/python3.10/site-packages/django/core/files/uploadhandler.py first seen with mtime 1740867318.177751
DEBUG 2025-03-04 12:27:59,310 autoreload File /usr/local/lib/python3.10/email/mime/message.py first seen with mtime 1740460896.0
DEBUG 2025-03-04 12:27:59,310 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/deletion.py first seen with mtime 1740867318.8977475
DEBUG 2025-03-04 12:27:59,311 autoreload File /usr/local/lib/python3.10/site-packages/numpy/_core/_machar.py first seen with mtime 1740863738.8862276
DEBUG 2025-03-04 12:27:59,311 autoreload File /usr/local/lib/python3.10/site-packages/psycopg2/_range.py first seen with mtime 1740863738.3062294
DEBUG 2025-03-04 12:27:59,311 autoreload File /usr/local/lib/python3.10/site-packages/pandas/plotting/_core.py first seen with mtime 1740863748.6061938
DEBUG 2025-03-04 12:27:59,311 autoreload File /usr/local/lib/python3.10/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1740867321.7377338
DEBUG 2025-03-04 12:27:59,312 autoreload File /usr/local/lib/python3.10/site-packages/pandas/core/arrays/_arrow_string_mixins.py first seen with mtime 1740863749.7261882
DEBUG 2025-03-04 12:27:59,312 autoreload File /usr/local/lib/python3.10/site-packages/pandas/_libs/parsers.cpython-310-x86_64-linux-gnu.so first seen with mtime 1740863750.0361867
DEBUG 2025-03-04 12:27:59,312 autoreload File /usr/local/lib/python3.10/site-packages/numpy/__init__.py first seen with mtime 1740863738.486229
DEBUG 2025-03-04 12:27:59,313 autoreload File /usr/local/lib/python3.10/site-packages/django/contrib/sessions/backends/__init__.py first seen with mtime 1740867317.8177528
DEBUG 2025-03-04 12:27:59,313 autoreload File /usr/local/lib/python3.10/shutil.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,313 autoreload File /usr/local/lib/python3.10/site-packages/django/db/models/functions/mixins.py first seen with mtime 1740867319.027747
DEBUG 2025-03-04 12:27:59,314 autoreload File /usr/local/lib/python3.10/site-packages/psycopg2/_ipaddress.py first seen with mtime 1740863738.3062294
DEBUG 2025-03-04 12:27:59,314 autoreload File /usr/local/lib/python3.10/tarfile.py first seen with mtime 1740460895.0
DEBUG 2025-03-04 12:27:59,314 autoreload File /usr/local/lib/python3.10/site-packages/django/utils/translation/reloader.py first seen with mtime 1740867319.5177445
DEBUG 2025-03-04 12:27:59,315 autoreload File /usr/local/lib/python3.10/site-packages/pandas/io/sql.py first seen with mtime 1740863748.536194
